conversation_id,conversation_text,task_domain,channel,Conversational Authenticity,Conversation Type,Communication Medium,Manipulation Type,Malicious,Threat Severity,Impersonation,urgency_score_0_10,Emotional State,Verification Behavior,suggested_action
87,"The sender repeats support-style phrases about insurance claim, ignores clarification, and keeps moving the user toward a suspicious external form. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",insurance claim,Voice Transcript,Fake,Bot-Generated Conversation,Chat App,Scripted Persuasion,Lottery Scam,High,Bank Officer,5,urgency,Avoids verification,Warn User
88,"A routine message from Mehwish discusses asking for permission to submit late; the sender provides enough context for the request, keeps the tone calm, and gives no instruction involving money or secrecy. The request is linked to asking for permission to submit late, and no confidential credential is requested.",hospital appointment,Voice Transcript,Real,Genuine Human Conversation,Email,None,None,Low,None,0,none,Allows verification,Allow
89,"The message imitates the billing department, creates a deadline around family emergency, adds emotional pressure after the receiver hesitates, and discourages the receiver from verifying independently. The suspicious part is that the sender ignores a direct question and repeats the instruction while demanding that the receiver confirm a login code.",family emergency,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Authority Spoofing,Emergency Financial Scam,High,Courier Agent,8,authority,Avoids verification,Warn User
90,"The chat has mass-message features, including reward wording, adds a reference number without a traceable source, and a request to click an unknown payment link. The conversation attempts to control the receiver's next action rather than allow independent verification.",utility billing,Social Media DM,Fake,Bot-Generated Conversation,SMS,Automated Phishing,Lottery Scam,High,Government Officer,8,urgency,Pushes immediate action,Warn User
91,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about family emergency sound smoother and more strategic. The receiver is not given a safe chance to confirm the claim through the visa center.",family emergency,Social Media DM,Suspicious,Human + AI Edited Conversation,Email,Mixed Human-AI Editing,Job Scam,High,Customer Support,6,reward,Pushes immediate action,Warn User
92,"The conversation shifts into template-style advice on following up on a courier delay, where the sender sounds helpful but avoids direct personal accountability. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",property rental,Chat App,Fake,AI-Generated Text Conversation,Email,LLM-Generated Reply,None,Medium,Bank Officer,2,authority,Avoids verification,Verify First
93,"A suspicious sender pretends to be Relative, claims there is a problem in tax office, changes the topic when asked for proof, and asks the receiver to confirm a login code. The receiver is not given a safe chance to confirm the claim through the clinic reception.",tax office,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Emergency Financial Scam,High,Relative,7,panic,Refuses call-back,Warn User
94,"The conversation starts with a normal greeting and then connects online shopping with a sudden warning, uses unusually polished wording for a personal emergency, and pressures the receiver to confirm a login code before checking the source. The conversation attempts to control the receiver's next action rather than allow independent verification.",online shopping,SMS,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Medical Scam,Critical,Police Officer,8,panic,Pushes immediate action,Block and Escalate
95,"A routine message from Daniel discusses confirming a payment receipt; the sender provides enough context for the request, keeps the tone calm, and gives no instruction involving money or secrecy. The conversation remains focused on coordination rather than pressure or reward.",school communication,Email,Real,Genuine Human Conversation,Text,None,None,Medium,None,2,trust,No verification needed,Verify First
96,"The dialogue is consistent with genuine communication because it discusses confirming a supervisor meeting, allows time for checking the information, and contains no hidden identity claim. The receiver can verify it through the university portal, so the risk remains limited.",scholarship application,Social Media DM,Real,Genuine Human Conversation,Text,None,None,Low,None,2,none,Provides normal verification,Allow
97,"In a normal conversation about asking about lunch plans, the sender asks to confirm the address, gives enough background, and does not force immediate action. The conversation remains focused on coordination rather than pressure or reward.",property rental,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,Provides normal verification,Allow
98,"A suspicious sender pretends to be Bank Officer, claims there is a problem in hostel management, claims the old number is unavailable, and asks the receiver to click an unknown payment link. The suspicious part is that the sender mentions a delayed verification window while demanding that the receiver confirm a login code.",hostel management,SMS,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Urgency Pressure,Lottery Scam,High,Bank Officer,7,urgency,Avoids verification,Warn User
99,"A fake-looking conversation about insurance claim asks the receiver to upload an identity document, while the sender adds a reference number without a traceable source and avoids a clear identity check. The suspicious part is that the sender claims the old number is unavailable while demanding that the receiver click an unknown payment link.",insurance claim,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Emergency Financial Scam,Critical,Child,9,panic,Pushes immediate action,Block and Escalate
